Date,adj close,sma_t,ema_t,mom_t,stk_t,std_t,rsi_t,macd_t,wr_t,vr_t,cci_t
1981-03-18,0.020919999999999998,0,1,1,1,1,1,1,0,1,1
1981-03-19,0.020717,0,1,0,1,1,0,1,1,0,0
1981-03-20,0.020919999999999998,0,1,1,1,1,1,1,0,1,1
1981-03-23,0.021733000000000002,1,1,1,1,1,1,1,0,1,1
1981-03-24,0.021631,1,1,0,1,1,0,1,1,1,0
1981-03-25,0.021225,1,1,0,0,1,0,1,1,1,0
1981-03-26,0.020819,1,1,0,0,1,0,1,1,0,0
1981-03-27,0.020108,1,0,0,0,0,0,0,1,1,0
1981-03-30,0.020108,1,0,1,0,0,0,0,1,0,0
1981-03-31,0.019905000000000003,1,0,0,0,0,0,0,1,0,0
1981-04-01,0.019701,0,0,0,0,0,0,0,0,0,1
1981-04-02,0.021428,1,1,1,1,0,1,1,0,1,1
1981-04-03,0.021529,1,1,0,1,1,1,1,0,1,0
1981-04-06,0.021123,0,1,0,1,1,0,1,1,0,0
1981-04-07,0.020919999999999998,0,1,1,1,1,0,1,1,1,0
1981-04-08,0.021936,1,1,1,1,1,1,1,0,1,1
1981-04-09,0.022341999999999997,1,1,0,1,1,1,1,0,1,0
1981-04-10,0.022647,1,1,0,1,1,1,1,0,1,0
1981-04-13,0.022647,1,1,0,1,1,0,1,0,0,0
1981-04-14,0.022647,1,1,0,1,1,0,1,0,1,0
1981-04-15,0.021529,1,0,0,0,0,0,0,1,1,0
1981-04-16,0.020311000000000003,0,0,0,0,0,0,0,1,0,0
1981-04-20,0.020919999999999998,0,0,1,0,0,1,0,0,1,1
1981-04-21,0.022341999999999997,1,1,1,1,0,1,1,0,1,1
1981-04-22,0.023153999999999997,1,1,0,1,1,1,1,0,1,1
1981-04-23,0.023763999999999997,1,1,0,1,1,1,1,0,1,1
1981-04-24,0.02356,1,1,0,1,1,0,1,1,0,0
1981-04-27,0.023357,1,1,0,1,1,0,1,1,0,0
1981-04-28,0.022951,1,1,0,0,1,0,0,1,0,0
1981-04-29,0.022647,1,0,1,0,0,0,0,1,0,0
1981-04-30,0.023053,1,1,1,0,0,1,0,0,1,1
1981-05-01,0.023053,1,1,0,0,0,1,0,1,1,0
1981-05-04,0.022951,1,1,0,0,0,0,0,1,0,0
1981-05-05,0.02285,1,1,0,0,0,0,0,1,0,0
1981-05-06,0.02224,0,0,0,0,0,0,0,1,0,1
1981-05-07,0.022545,0,0,1,0,0,1,0,0,0,1
1981-05-08,0.022747999999999997,0,0,0,1,0,1,0,0,1,1
1981-05-11,0.02224,0,0,0,0,0,0,0,1,1,0
1981-05-12,0.02224,0,0,1,0,0,0,0,0,1,1
1981-05-13,0.022139,0,0,0,0,0,0,0,0,1,1
1981-05-14,0.021834,0,0,0,0,0,0,0,0,0,0
1981-05-15,0.022341999999999997,0,0,1,1,1,1,0,0,0,1
1981-05-18,0.022747999999999997,0,1,0,1,1,1,1,0,1,1
1981-05-19,0.022341999999999997,0,0,0,1,1,0,0,1,0,0
1981-05-20,0.023053,1,1,1,1,1,1,1,0,1,0
1981-05-21,0.024373,1,1,1,1,1,1,1,0,1,0
1981-05-22,0.025490000000000002,1,1,0,1,1,0,1,1,1,0
1981-05-26,0.025388,1,1,0,1,1,0,1,1,0,0
1981-05-27,0.026810000000000004,1,1,1,1,1,0,1,0,1,1
1981-05-28,0.026810000000000004,1,1,0,1,1,0,1,0,0,0
1981-05-29,0.026912000000000002,1,1,1,1,1,0,1,1,1,0
1981-06-01,0.026912000000000002,1,1,0,1,1,0,1,0,0,0
1981-06-02,0.025592,1,1,0,0,0,0,0,1,0,0
1981-06-03,0.025592,1,1,1,0,0,1,0,1,1,0
1981-06-04,0.026099,1,1,1,0,0,1,0,0,1,1
1981-06-05,0.025693,1,1,0,0,0,0,0,1,0,0
1981-06-08,0.024779,0,0,0,0,0,0,0,1,0,0
1981-06-09,0.025287,0,0,1,0,0,1,0,0,1,1
1981-06-10,0.025592,0,1,0,1,0,1,0,0,0,1
1981-06-11,0.026708999999999997,0,1,1,1,1,1,1,0,1,1
1981-06-12,0.026404,0,1,0,1,1,0,1,1,0,0
1981-06-15,0.026302,0,1,1,1,1,0,0,0,0,1
1981-06-16,0.025795,1,0,0,0,1,0,0,1,1,0
1981-06-17,0.025388,0,0,1,0,0,0,0,1,0,0
1981-06-18,0.025287,0,0,1,0,0,0,0,1,0,1
1981-06-19,0.024576,0,0,0,0,0,0,0,1,1,0
1981-06-22,0.023662,0,0,0,0,0,0,0,0,1,1
1981-06-23,0.024068,0,0,1,0,0,1,0,0,0,1
1981-06-24,0.023459,0,0,0,0,0,0,0,1,0,0
1981-06-25,0.023967,0,0,1,1,0,1,0,0,0,1
1981-06-26,0.023662,0,0,0,0,0,0,0,1,1,0
1981-06-29,0.02285,0,0,0,0,0,0,0,1,1,0
1981-06-30,0.021123,0,0,0,0,0,0,0,0,1,1
1981-07-01,0.020919999999999998,0,0,1,0,0,1,0,0,0,1
1981-07-02,0.020919999999999998,0,0,1,0,0,1,0,0,1,1
1981-07-06,0.020209,0,0,0,0,0,1,0,0,1,1
1981-07-07,0.020412,0,0,1,1,0,1,0,0,1,1
1981-07-08,0.021225,0,0,1,1,1,1,1,0,1,1
1981-07-09,0.0196,0,0,0,0,1,1,0,1,0,0
1981-07-10,0.018077,0,0,0,0,0,1,0,0,0,1
1981-07-13,0.018483000000000003,0,0,1,1,1,1,0,0,1,1
1981-07-14,0.019295,0,0,1,1,1,1,0,0,1,1
1981-07-15,0.019803,0,0,0,1,1,1,1,0,1,1
1981-07-16,0.020311000000000003,0,1,0,1,1,1,1,0,1,1
1981-07-17,0.021022,1,1,1,1,1,1,1,0,1,1
1981-07-20,0.0196,0,0,0,0,1,0,1,1,0,0
1981-07-21,0.019497999999999998,0,0,1,0,1,0,1,1,0,0
1981-07-22,0.018381,0,0,0,0,0,0,0,1,0,0
1981-07-23,0.018889,0,0,1,0,0,1,1,0,1,1
1981-07-24,0.019497999999999998,1,0,1,1,0,1,1,0,1,1
1981-07-27,0.020311000000000003,1,1,1,1,1,1,1,0,0,1
1981-07-28,0.0196,1,0,0,0,1,0,1,1,0,0
1981-07-29,0.019295,0,0,1,0,0,0,1,1,0,0
1981-07-30,0.020006,0,1,1,1,1,1,1,0,0,1
1981-07-31,0.020311000000000003,0,1,0,1,1,1,1,0,0,1
1981-08-03,0.020108,1,1,0,1,1,0,1,1,1,0
1981-08-04,0.020412,1,1,1,1,1,1,1,0,1,1
1981-08-05,0.021022,1,1,1,1,1,1,1,0,1,1
1981-08-06,0.020513999999999998,1,1,0,0,1,0,1,1,0,0
1981-08-07,0.020513999999999998,1,1,1,0,0,0,1,0,0,0
1981-08-10,,0,0,0,0,0,0,0,0,0,0
1981-08-11,0.019905000000000003,1,0,0,0,0,0,0,0,0,0
1981-08-12,0.019497999999999998,1,0,1,0,0,0,0,1,0,0
1981-08-13,0.018889,0,0,0,0,0,0,0,0,0,0
1981-08-14,0.018584,0,0,1,0,0,0,0,0,0,0
1981-08-17,0.017975,0,0,0,0,0,0,0,0,0,0
1981-08-18,0.017569,0,0,1,0,0,0,0,0,0,0
1981-08-19,0.017366,0,0,1,0,0,0,0,0,0,0
1981-08-20,0.017569,0,0,1,1,0,1,0,0,1,0
1981-08-21,0.01635,0,0,0,0,0,1,0,1,0,0
1981-08-24,0.015335,0,0,1,0,0,1,0,0,0,1
1981-08-25,0.015740999999999998,0,0,1,1,0,1,0,0,1,1
1981-08-26,0.015436000000000002,0,0,0,0,0,1,0,1,0,1
1981-08-27,0.015538,0,0,1,1,1,1,0,0,1,1
1981-08-28,0.01635,0,0,1,1,1,1,1,0,1,1
1981-08-31,0.01635,0,0,0,1,1,0,1,0,1,1
1981-09-01,0.017366,0,1,1,1,1,1,1,0,1,1
1981-09-02,0.017669999999999998,1,1,0,1,1,1,1,0,1,1
1981-09-03,0.016756,0,1,0,0,1,0,1,1,0,0
1981-09-04,0.016553000000000002,1,0,1,0,1,0,1,1,1,0
1981-09-08,0.016046,1,0,0,0,0,0,0,1,0,0
1981-09-09,0.016046,1,0,1,0,0,0,1,0,0,0
1981-09-10,0.016146999999999998,1,0,1,0,0,1,1,0,1,0
1981-09-11,0.015944,1,0,0,0,0,0,1,1,0,0
1981-09-14,0.015436000000000002,0,0,0,0,0,0,0,0,0,0
1981-09-15,0.015030000000000002,0,0,1,0,0,0,0,0,0,0
1981-09-16,0.014725,0,0,1,0,0,0,0,0,0,0
1981-09-17,0.014319,0,0,0,0,0,1,0,0,0,1
1981-09-18,0.014421000000000002,0,0,1,1,0,1,0,0,1,1
1981-09-21,0.014522,0,0,0,1,0,1,0,0,1,1
1981-09-22,0.01371,0,0,0,0,0,1,0,1,0,0
1981-09-23,0.013405000000000002,0,0,1,0,0,1,0,0,0,1
1981-09-24,0.013304,0,0,1,0,0,1,0,0,0,1
1981-09-25,0.011576999999999999,0,0,0,0,0,1,0,0,0,1
1981-09-28,0.011679,0,0,1,1,0,1,0,0,1,1
1981-09-29,0.012288,0,0,1,1,1,1,0,0,1,1
1981-09-30,0.01239,0,0,0,1,1,1,1,0,1,1
1981-10-01,0.01239,0,0,0,1,1,1,1,0,1,1
1981-10-02,0.013405000000000002,0,1,1,1,1,1,1,0,1,1
1981-10-05,0.013811000000000002,0,1,0,1,1,1,1,0,0,1
1981-10-06,0.01371,0,1,0,1,1,0,1,1,1,0
1981-10-07,0.014522,1,1,1,1,1,1,1,0,1,1
1981-10-08,0.015030000000000002,1,1,0,1,1,1,1,0,1,0
1981-10-09,0.015132,1,1,0,1,1,1,1,1,1,0
1981-10-12,0.015639,1,1,1,1,1,1,1,0,0,1
1981-10-13,0.015639,1,1,0,1,1,0,1,1,0,0
1981-10-14,0.014725,1,1,0,0,0,0,1,1,0,0
1981-10-15,0.015030000000000002,1,1,1,0,0,1,1,1,1,1
1981-10-16,0.014827000000000002,1,1,0,0,0,0,1,1,0,0
1981-10-19,0.015132,1,1,1,0,0,1,1,0,0,1
1981-10-20,0.015944,1,1,1,1,1,1,1,0,1,1
1981-10-21,0.015944,1,1,0,1,1,0,1,1,0,0
1981-10-22,0.015842,1,1,0,1,1,0,1,1,0,0
1981-10-23,0.015436000000000002,1,1,0,0,0,0,1,1,0,0
1981-10-26,0.015436000000000002,0,1,1,0,0,0,1,0,0,1
1981-10-27,0.015740999999999998,1,1,1,1,0,1,1,0,1,1
1981-10-28,0.016249,1,1,1,1,1,1,1,0,1,1
1981-10-29,0.016046,1,1,0,0,1,0,1,1,0,0
1981-10-30,0.016249,1,1,1,1,1,1,1,0,1,1
1981-11-02,0.016249,1,1,0,1,1,0,1,1,0,0
1981-11-03,0.016046,1,1,0,0,0,0,0,1,0,0
1981-11-04,0.015639,0,0,0,0,0,0,0,1,0,0
1981-11-05,0.014522,0,0,0,0,0,0,0,1,1,1
1981-11-06,0.014624000000000002,0,0,1,0,0,1,0,0,1,1
1981-11-09,0.014827000000000002,0,0,1,0,0,1,0,0,1,1
1981-11-10,0.014928,0,0,0,0,0,1,0,0,0,1
1981-11-11,0.015335,0,1,1,1,0,1,1,0,0,1
1981-11-12,0.015842,0,1,1,1,1,1,1,0,1,1
1981-11-13,0.014725,0,0,0,0,0,0,0,1,0,0
1981-11-16,0.014522,0,0,1,0,0,0,0,1,0,0
1981-11-17,0.014827000000000002,0,0,1,0,0,1,0,0,1,1
1981-11-18,0.015335,0,1,1,1,1,1,1,0,1,1
1981-11-19,0.015335,1,1,0,1,1,0,1,0,1,0
1981-11-20,0.015436000000000002,1,1,1,1,1,1,1,0,1,1
1981-11-23,0.014725,1,0,0,0,0,0,0,1,0,0
1981-11-24,0.014624000000000002,0,0,1,0,0,0,0,1,0,0
1981-11-25,0.014928,0,0,1,1,0,1,0,0,1,1
1981-11-27,0.015335,0,1,1,1,1,1,1,0,0,1
1981-11-30,0.015132,1,1,0,1,1,0,1,1,0,0
1981-12-01,0.015132,1,0,1,1,1,0,1,1,1,0
1981-12-02,0.015233000000000002,1,1,1,1,1,1,1,0,1,1
1981-12-03,0.015030000000000002,0,0,0,0,1,0,0,1,0,0
1981-12-04,0.015436000000000002,1,1,1,1,1,1,1,0,1,1
1981-12-07,0.015538,1,1,0,1,1,1,1,0,1,1
1981-12-08,0.015233000000000002,1,1,0,0,1,0,0,1,0,0
1981-12-09,0.015335,1,1,1,0,0,1,1,1,1,1
1981-12-10,0.015335,1,1,0,0,0,0,1,1,0,0
1981-12-11,0.015233000000000002,0,1,0,0,0,0,0,1,0,0
1981-12-14,0.014725,0,0,0,0,0,0,0,1,0,1
1981-12-15,0.015132,0,0,1,1,0,1,0,0,1,1
1981-12-16,0.015842,1,1,1,1,1,1,1,0,1,0
1981-12-17,0.017163,1,1,1,1,1,1,1,0,1,0
1981-12-18,0.018584,1,1,0,1,1,0,1,0,0,0
1981-12-21,0.017772,1,1,0,0,1,0,1,1,0,0
1981-12-22,0.018077,1,1,1,1,1,1,1,0,1,0
1981-12-23,0.017669999999999998,1,1,0,0,1,0,1,1,0,0
1981-12-24,0.017772,1,1,1,0,1,1,1,0,1,0
1981-12-28,0.016959000000000002,1,1,0,0,0,0,0,1,1,0
1981-12-29,0.017263999999999998,1,1,1,0,0,1,0,0,1,1
1981-12-30,0.017975,1,1,1,0,0,1,1,0,1,1
1981-12-31,0.017975,1,1,0,0,0,0,1,1,0,0
1982-01-04,0.017873,1,1,0,1,1,0,0,1,0,0
1982-01-05,0.016959000000000002,0,0,0,0,0,0,0,1,0,0
1982-01-06,0.016756,0,0,1,0,0,0,0,0,0,1
1982-01-07,0.015436000000000002,0,0,0,0,0,0,0,0,0,1
1982-01-08,0.016146999999999998,0,0,1,1,0,1,0,0,1,1
1982-01-11,0.015132,0,0,0,0,0,0,0,1,0,0
1982-01-12,0.014624000000000002,0,0,1,0,0,0,0,0,0,1
1982-01-13,0.014522,0,0,1,0,0,0,0,0,0,1
1982-01-14,0.015233000000000002,0,0,1,1,0,1,0,0,0,1
1982-01-15,0.016249,0,1,1,1,1,1,1,0,1,1
1982-01-18,0.016553000000000002,0,1,0,1,1,1,1,0,1,1
1982-01-19,0.016146999999999998,0,1,0,1,1,0,1,1,0,0
1982-01-20,0.016452,0,1,1,1,1,1,1,0,1,1
1982-01-21,0.016756,1,1,0,1,1,1,1,0,1,1
1982-01-22,0.016858,1,1,0,1,1,1,1,0,0,0
1982-01-25,0.01635,1,1,0,0,1,0,1,1,0,0
1982-01-26,0.015740999999999998,1,0,0,0,0,0,0,1,1,0
1982-01-27,0.015842,1,0,1,0,0,1,0,1,1,0
1982-01-28,0.01635,1,1,1,1,0,1,1,0,1,1
1982-01-29,0.016553000000000002,1,1,0,1,0,1,1,0,1,1
1982-02-01,0.01635,0,1,0,0,0,0,1,1,0,0
1982-02-02,0.016452,1,1,1,1,1,1,1,0,1,1
1982-02-03,0.016452,0,1,0,1,1,0,1,0,0,0
1982-02-04,0.016046,0,0,0,0,0,0,0,1,0,0
1982-02-05,0.016046,0,0,1,0,0,0,0,0,0,1
1982-02-08,0.015030000000000002,0,0,0,0,0,0,0,1,1,1
1982-02-09,0.015030000000000002,0,0,1,0,0,0,0,0,1,1
1982-02-10,0.015233000000000002,0,0,1,0,0,1,0,0,1,1
1982-02-11,0.015030000000000002,0,0,0,0,0,0,0,1,0,1
1982-02-12,0.015233000000000002,0,0,1,1,0,1,0,0,0,1
1982-02-16,0.014928,0,0,0,0,0,0,0,1,1,0
1982-02-17,0.015132,0,0,1,1,0,1,0,0,0,1
1982-02-18,0.015335,0,0,0,1,1,1,1,0,1,1
1982-02-19,0.015233000000000002,0,0,0,1,1,0,1,1,1,0
1982-02-22,0.015030000000000002,0,0,0,0,1,0,0,1,0,0
1982-02-23,0.014827000000000002,0,0,0,0,0,0,0,1,0,0
1982-02-24,0.014928,0,0,1,0,0,1,0,0,1,1
1982-02-25,0.014827000000000002,0,0,0,0,0,0,0,1,0,0
1982-02-26,0.014827000000000002,0,0,1,0,0,0,0,0,1,1
1982-03-01,0.014928,0,0,1,1,0,1,1,0,1,1
1982-03-02,0.014928,0,0,0,1,0,0,1,0,1,0
1982-03-03,0.014928,0,0,0,1,1,0,1,0,0,1
1982-03-04,0.014624000000000002,0,0,0,0,0,0,0,1,0,1
1982-03-05,0.013507,0,0,0,0,0,1,0,0,0,1
1982-03-08,0.013304,0,0,1,0,0,1,0,0,0,1
1982-03-09,0.013405000000000002,0,0,1,1,0,1,0,0,1,1
1982-03-10,0.013202,0,0,0,0,0,1,0,1,0,1
1982-03-11,0.013202,0,0,1,0,0,1,0,0,1,1
1982-03-12,0.01239,0,0,0,0,0,1,0,0,0,0
1982-03-15,0.012288,0,0,1,0,0,1,0,0,0,1
1982-03-16,0.012085,0,0,0,0,0,1,0,0,0,0
1982-03-17,0.011476,0,0,0,0,0,1,0,0,0,0
1982-03-18,0.01239,0,0,1,1,1,1,1,0,1,1
1982-03-19,0.013507,0,1,1,1,1,1,1,0,1,1
1982-03-22,0.014522,1,1,0,1,1,1,1,0,1,0
1982-03-23,0.014319,1,1,0,1,1,0,1,1,0,0
1982-03-24,0.013507,1,1,0,0,1,0,1,1,1,0
1982-03-25,0.013405000000000002,1,1,1,0,1,0,1,1,0,0
1982-03-26,0.013202,1,0,0,0,1,0,1,1,0,0
1982-03-29,0.013507,1,1,1,1,1,1,1,0,1,1
1982-03-30,0.01371,1,1,0,0,1,1,1,0,1,1
1982-03-31,0.01371,1,1,0,0,0,0,1,1,1,0
1982-04-01,0.014421000000000002,1,1,1,1,1,1,1,0,1,1
1982-04-02,0.014421000000000002,1,1,0,1,1,0,1,0,0,0
1982-04-05,0.014421000000000002,0,1,0,1,1,0,1,0,0,1
1982-04-06,0.014319,0,1,0,1,1,0,1,1,0,0
1982-04-07,0.014116,1,1,0,0,1,0,1,1,1,0
1982-04-08,0.014218000000000001,1,1,1,0,1,1,1,0,1,1
1982-04-12,0.014116,1,1,0,0,0,0,1,1,1,0
1982-04-13,0.012999,0,0,0,0,0,0,0,1,0,1
1982-04-14,0.0131,0,0,1,0,0,1,0,0,1,1
1982-04-15,0.013304,0,0,1,0,0,1,0,0,1,1
1982-04-16,0.01371,0,1,1,1,0,1,1,0,1,1
1982-04-19,0.013405000000000002,0,0,0,0,0,0,0,1,0,0
1982-04-20,0.012796,0,0,0,0,0,0,0,1,0,0
1982-04-21,0.012694,0,0,1,0,0,0,0,0,0,1
1982-04-22,0.012491,0,0,0,0,0,0,0,0,0,0
1982-04-23,0.012491,0,0,1,0,0,0,0,0,0,1
1982-04-26,0.012796,0,0,1,1,0,1,0,0,1,1
1982-04-27,0.01239,0,0,0,0,0,0,0,1,1,0
1982-04-28,0.011881999999999998,0,0,0,0,0,0,0,0,0,0
1982-04-29,0.011881999999999998,0,0,1,0,0,0,0,0,0,1
1982-04-30,0.011983,0,0,1,1,0,1,0,0,1,1
1982-05-03,0.01239,0,0,1,1,1,1,1,0,1,1
1982-05-04,0.012796,0,1,0,1,1,1,1,0,1,1
1982-05-05,0.012593,0,1,0,1,1,0,1,1,1,0
1982-05-06,0.012999,1,1,1,1,1,1,1,0,1,1
1982-05-07,0.013202,1,1,0,1,1,1,1,0,1,1
1982-05-10,0.012999,1,1,0,1,1,0,1,1,0,0
1982-05-11,0.012593,1,0,0,0,1,0,1,1,0,0
1982-05-12,0.012288,1,0,1,0,0,0,0,1,1,0
1982-05-13,0.01239,1,0,1,0,0,1,0,0,1,1
1982-05-14,0.011881999999999998,1,0,0,0,0,0,0,1,0,1
1982-05-17,0.011679,0,0,1,0,0,0,0,0,0,1
1982-05-18,0.011476,0,0,0,0,0,0,0,0,0,1
1982-05-19,0.011373999999999999,0,0,1,0,0,0,0,0,0,1
1982-05-20,0.011476,0,0,1,0,0,1,0,0,0,1
1982-05-21,0.011576999999999999,0,0,0,1,0,1,0,0,0,1
1982-05-24,0.011679,0,0,0,1,1,1,1,0,1,1
1982-05-25,0.011679,0,0,0,1,1,0,1,0,1,1
1982-05-26,0.011576999999999999,0,0,0,1,1,0,1,1,1,0
1982-05-27,0.011373999999999999,0,0,0,0,0,0,0,1,0,0
1982-05-28,0.011373999999999999,0,0,1,0,0,0,0,0,1,1
1982-06-01,0.011170999999999999,0,0,0,0,0,0,0,0,1,1
1982-06-02,0.011373999999999999,0,0,1,1,1,1,1,0,1,1
1982-06-03,0.010968,0,0,0,0,0,0,0,1,1,1
1982-06-04,0.010662999999999999,0,0,1,0,0,1,0,0,0,1
1982-06-07,0.010662999999999999,0,0,1,0,0,1,0,0,0,1
1982-06-08,0.010562,0,0,0,0,0,1,0,0,0,1
1982-06-09,0.010358,0,0,0,0,0,1,0,0,0,0
1982-06-10,0.010459999999999999,0,0,1,1,0,1,0,0,1,1
1982-06-11,0.010865999999999999,0,0,1,1,1,1,1,0,1,1
1982-06-14,0.010865999999999999,0,0,0,1,1,0,1,0,1,1
1982-06-15,0.010865999999999999,0,0,0,1,1,0,1,0,1,1
1982-06-16,0.010865999999999999,0,0,0,1,1,0,1,0,0,1
1982-06-17,0.010662999999999999,0,0,0,0,1,0,1,1,1,0
1982-06-18,0.010459999999999999,0,0,0,0,1,0,0,1,1,0
1982-06-21,0.010459999999999999,0,0,1,0,0,0,1,0,0,1
1982-06-22,0.010865999999999999,1,1,1,1,1,1,1,0,1,1
1982-06-23,0.011170999999999999,1,1,0,1,1,1,1,0,1,1
1982-06-24,0.011170999999999999,1,1,0,1,1,0,1,0,0,0
1982-06-25,0.010765,0,0,0,0,1,0,1,1,0,0
1982-06-28,0.010662999999999999,0,0,1,0,0,0,1,1,0,0
1982-06-29,0.010358,0,0,0,0,0,0,0,1,0,0
1982-06-30,0.010358,0,0,1,0,0,0,0,0,1,1
1982-07-01,0.010256999999999999,0,0,0,0,0,0,0,0,0,0
1982-07-02,0.009748999999999999,0,0,0,0,0,1,0,0,0,1
1982-07-06,0.009343,0,0,1,0,0,1,0,0,0,1
1982-07-07,0.009343,0,0,1,0,0,1,0,0,0,1
1982-07-08,0.008937,0,0,0,0,0,1,0,0,0,0
1982-07-09,0.009241,0,0,1,1,0,1,0,0,1,1
1982-07-12,0.009445,0,0,0,1,1,1,1,0,1,1
1982-07-13,0.010054,0,1,1,1,1,1,1,0,1,1
1982-07-14,0.010154999999999999,0,1,0,1,1,1,1,0,1,1
1982-07-15,0.010358,0,1,1,1,1,1,1,0,1,1
1982-07-16,0.010765,1,1,1,1,1,1,1,0,1,1
1982-07-19,0.010865999999999999,1,1,0,1,1,1,1,0,1,0
1982-07-20,0.011576999999999999,1,1,1,1,1,1,1,0,1,1
1982-07-21,0.011576999999999999,1,1,0,1,1,0,1,0,0,0
1982-07-22,0.011679,1,1,1,1,1,1,1,1,1,0
1982-07-23,0.011476,1,1,0,0,1,0,1,1,0,0
1982-07-26,0.010968,1,1,0,0,0,0,0,1,0,0
1982-07-27,0.010968,1,0,1,0,0,0,0,1,0,0
1982-07-28,0.010459999999999999,1,0,0,0,0,0,0,1,0,0
1982-07-29,0.010865999999999999,1,0,1,0,0,1,0,0,0,1
1982-07-30,0.010968,1,1,0,0,0,1,1,0,0,1
1982-08-02,0.011271999999999999,1,1,1,1,0,1,1,0,1,1
1982-08-03,0.010562,0,0,0,0,0,0,0,1,0,0
1982-08-04,0.010459999999999999,0,0,1,0,0,0,0,1,0,0
1982-08-05,0.010054,0,0,0,0,0,0,0,0,0,0
1982-08-06,0.009951999999999999,0,0,1,0,0,0,0,0,0,1
