Id,Title,Description,URL,Timestamp
30,Tesla invests $680 million into Gigafactory 3 in China,"Sina Finance reports that Tesla Shanghai has registered a capital increase to 4.67 billion yuan (US$680 million.) In May 2018, Tesla (Shanghai) got a business license and TESLA MOTORS HK LIMITED was... [[ This is a content summary only. Visit my website for f…",https://www.nextbigfuture.com/2018/09/tesla-invests-680-million-into-gigafactory-3-in-china.html,2018-09-11T00:24:02Z
31,"2018 Tesla Model 3 Performance review: Unholy quick, but still incomplete - CNET","CNET 2018 Tesla Model 3 Performance review: Unholy quick, but still incomplete CNET Reviewing Teslas can be challenging. They are, you see, always changing. Everything from Autopilot capability to the braking performance of the Model 3 has been tweaked since …",https://slashdot.org/firehose.pl?op=view&amp;id=102709842,2018-09-11T00:12:30Z
32,Tesla is bringing back its wireless smartphone charger at a discount,"Tesla has started informing customers that its wireless smartphone charger, which quickly went out of stock late last month, will be returning to its online store at a roughly $15 discount, with the electric car maker citing a larger manufacturing quantity as…",https://www.theverge.com/circuitbreaker/2018/9/10/17843996/tesla-wireless-smartphone-charger-return-restock-discount,2018-09-11T00:07:45Z
33,Tesla shares bounce as Musk risk seen as overblown,"NEW YORK: Tesla shares bounced Monday (Sep 10) following an upbeat analyst note that suggested worries about chief executive Elon Musk and his various controversies were exaggerated. Alliance Bernstein analyst Toni Sacconaghi, Jr said much of the pressure on …",https://www.channelnewsasia.com/news/business/tesla-shares-bounce-as-musk-risk-seen-as-overblown-10704088,2018-09-10T23:40:37Z
34,"How Many Vehicles Will Tesla, Inc. Sell in Q3?",It's going to be another wildcard quarter.,https://www.fool.com/investing/2018/09/10/how-many-vehicles-will-tesla-inc-sell-in-q3.aspx,2018-09-10T23:21:00Z
35,"Tesla's Keyless Entry Vulnerable To Spoofing Attack, Researchers Find","An anonymous reader quotes a report from The Verge: Researchers at KU Leuven have figured out a way to spoof Tesla's key fob system, as first reported by Wired. The result would let an attacker steal a Tesla simply by walking past the owner and cloning his ke…",https://mobile.slashdot.org/story/18/09/10/2121234/teslas-keyless-entry-vulnerable-to-spoofing-attack-researchers-find,2018-09-10T23:20:00Z
36,Forget the stock. Tesla's bonds are imploding,"The bonds traded for just 84 cents on the dollar, down from 98 cents a year ago.",http://cnnphilippines.com/business/2018/09/11/Tesla-bonds-imploding.html,2018-09-10T23:11:07Z
37,"Researchers Show Off Method for Hacking Tesla's Keyless Entry, So Turn on Two-Factor Encryption",Elon Musk started the day with some much-needed good news after Space X pulled off an early morning satellite launch without any troubles. The good news didn’t last long because on Monday afternoon security researchers went public with claims that Tesla’s key…,https://gizmodo.com/researchers-show-off-method-for-hacking-tesla-s-keyless-1828951056,2018-09-10T22:55:00Z
38,Tesla Model S key fobs were vulnerable to a low-tech hack - Roadshow,Researchers from a Belgian university found the weakness and Tesla has already fixed the issue.,https://slashdot.org/firehose.pl?op=view&amp;id=102709164,2018-09-10T22:53:40Z
39,Thief steals Tesla from mall using smartphone - Green Car Reports,"Green Car Reports Thief steals Tesla from mall using smartphone Green Car Reports Cybersecurity is big for cars, and a Tesla proved why last week. The thief used Tesla's smartphone app to open and drive away in a Model S from the Mall of America, in Bloomingt…",https://slashdot.org/firehose.pl?op=view&amp;id=102709148,2018-09-10T22:52:17Z
40,Tesla's Bonds Tell A Perilous Story,Tesla bond yields are hitting all-time highs. The company seems to be attempting to engineer a one-off profit. The bond market is unlikely to be convinced by un,https://seekingalpha.com/article/4205414-teslas-bonds-tell-perilous-story,2018-09-10T22:26:57Z
41,Tesla shares climb on Musk’s promise of ‘amazing’ quarter,"Tesla shares climbed nearly 9 percent on Monday as investors reacted to Elon Musk on Friday evening predicting “the most amazing quarter in our history.” The electric-car maker finished the day up 8.5 percent, at $285.50, a boost that was also fueled by Baird…",https://nypost.com/2018/09/10/tesla-shares-climb-on-musks-promise-of-amazing-quarter/,2018-09-10T22:24:54Z
42,Tesla CEO’s Toke Blunts Networks’ Jobs Coverage,"Tesla CEO Elon Musk acting strangely and smoking marijuana took priority over an good economic update on jobs. Six times more. ABC, CBS and NBC evening news programs on Sept. 7, spent more than 6 times as much of those broadcasts reporting that Tesla and Spac…",https://www.newsbusters.org/blogs/business/julia-seymour/2018/09/10/tesla-ceos-toke-blunts-networks-jobs-coverage,2018-09-10T22:24:20Z
43,Air Force looking into Musk's security clearance over pot smoking,,https://govtslaves.info/story/air-force-looking-into-musks-security-clearance-over-pot-smoking/,2018-09-10T22:24:19Z
44,Commentary: The trouble with 'Made in China',"Amidst a trade war with the United States, China toned down its ""Made in China 2025"" plan.",https://www.channelnewsasia.com/news/commentary/made-in-china-us-trade-war-great-power-competition-10626054,2018-09-10T22:15:10Z
45,Musk elevates Tesla's little-known fixer to steer past drama,"Outside Tesla Inc., Jerome Guillen is hardly a household name. But to some of the earliest, die-hard customers who bought Tesla’s first Model S sedans, a fixer is getting the promotion he deserves, and Chief Executive Elon Musk is getting help he desperately …",http://www.latimes.com/business/la-fi-tesla-musk-fixer-guillen-20180910-story.html,2018-09-10T22:10:00Z
46,Tesla Key Fob Security Allows for a Hacker to Steal a Car in Less Than 30 Seconds,"Tesla has updated their key fob technology and added a pin code on the Tesla Model S to counter a new hack discovered by researchers at the KU Leuven University in Belgium, that allows a car thief to steal a Tesla in less than 30 seconds.  Basically the Pektr…",http://www.hardocp.com/news/2018/09/10/tesla_key_fob_security_allows_for_hacker_to_steal_car_in_less_than_30_seconds/,2018-09-10T22:09:00Z
47,"io9 A Guide to Starforce, Captain Marvel’s Kree Superteam | Kotaku The Internet Reacts To Kanye Wes","io9 A Guide to Starforce, Captain Marvel ’s Kree Superteam | Kotaku The Internet Reacts To Kanye West’s Bizarre New Video | Jalopnik The 2018 Tesla Model 3 Long Range Is the Perfect Mix of Ordinary and Revolutionary | Lifehacker What to Do With Your Old Apple…",https://kinjaroundup.kinja.com/io9-a-guide-to-starforce-captain-marvel-s-kree-superte-1828951866,2018-09-10T22:07:00Z
